Trip No_;Trip Date;Source No_;Customer No_;Status;Delivery Order Lat;Delivery Order Lon;Delivery Time From;Delivery Time To;Delivery Fact Time
NSK313120;2025-07-17 00:00:00.000;NS00125014585;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:36.000
NSK313120;2025-07-17 00:00:00.000;NS00125014704;К285412;0;55.02957500000000000000;82.90836500000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 06:24:01.000
NSK313120;2025-07-17 00:00:00.000;NS00125014705;К285412;0;55.02957500000000000000;82.90836500000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 06:24:06.000
NSK313120;2025-07-17 00:00:00.000;NS00125015078;К115345;0;55.02342300000000000000;82.92324400000000000000;1754-01-01 16:00:00.000;1754-01-01 20:00:00.000;2025-07-17 07:39:00.000
NSK313120;2025-07-17 00:00:00.000;NS00125015082;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:36.000
NSK313120;2025-07-17 00:00:00.000;NS00125015083;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:37.000
NSK313120;2025-07-17 00:00:00.000;NS00125015084;К64985;0;55.00445300000000000000;82.95011000000000000000;1754-01-01 09:30:00.000;1754-01-01 17:30:00.000;2025-07-17 03:52:28.000
NSK313120;2025-07-17 00:00:00.000;NS00125015093;К247515;0;55.03532300000000000000;82.91979200000000000000;1754-01-01 17:00:00.000;1754-01-01 21:00:00.000;2025-07-17 06:43:11.000
NSK313120;2025-07-17 00:00:00.000;NS00125015117;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:37.000
NSK313120;2025-07-17 00:00:00.000;NS00125015134;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:37.000
NSK313120;2025-07-17 00:00:00.000;NS00125015135;К91012;0;55.02929532858651000000;82.90430047217146000000;1754-01-01 12:00:00.000;1754-01-01 18:00:00.000;2025-07-17 05:48:23.000
NSK313120;2025-07-17 00:00:00.000;NS00125015142;К91925;0;55.01807100000000000000;82.92732000000000000000;1754-01-01 12:00:00.000;1754-01-01 18:00:00.000;2025-07-17 05:12:03.000
NSK313120;2025-07-17 00:00:00.000;NS00125015146;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 10:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:38.000
NSK313120;2025-07-17 00:00:00.000;NS00125015148;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:38.000
NSK313120;2025-07-17 00:00:00.000;NS00125015150;К408015;0;55.04694500000000000000;82.98588100000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 03:52:44.000
NSK313120;2025-07-17 00:00:00.000;NS00125015158;К174575;0;55.02613689664683000000;82.92074812371760000000;1754-01-01 11:00:00.000;1754-01-01 15:00:00.000;2025-07-17 04:20:23.000
NSK313120;2025-07-17 00:00:00.000;NS00125015162;К02581;0;55.02957500000000000000;82.90836500000000000000;1754-01-01 12:00:00.000;1754-01-01 23:00:00.000;2025-07-17 06:24:06.000
NSK313120;2025-07-17 00:00:00.000;NS00125015163;К02581;0;55.02957500000000000000;82.90836500000000000000;1754-01-01 12:00:00.000;1754-01-01 23:00:00.000;2025-07-17 06:24:10.000
NSK313120;2025-07-17 00:00:00.000;NS00125015177;К02581;0;55.02957500000000000000;82.90836500000000000000;1754-01-01 12:00:00.000;1754-01-01 23:00:00.000;2025-07-17 06:24:11.000
NSK313120;2025-07-17 00:00:00.000;NS00125015178;К243388;0;55.02797500000000000000;82.92726600000000000000;1754-01-01 10:00:00.000;1754-01-01 19:00:00.000;2025-07-17 04:56:09.000
NSK313120;2025-07-17 00:00:00.000;NS00125015184;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:39.000
NSK313120;2025-07-17 00:00:00.000;NS00125015186;К424157;0;55.02884607003675000000;82.90585248327119000000;1754-01-01 12:00:00.000;1754-01-01 18:00:00.000;2025-07-17 06:05:53.000
NSK313120;2025-07-17 00:00:00.000;NS00125015192;К255054;0;55.03134500000000000000;82.91953100000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 04:34:45.000
NSK313120;2025-07-17 00:00:00.000;NS00125015194;К270646;0;55.03029900000000000000;82.90468900000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 05:48:30.000
NSK313120;2025-07-17 00:00:00.000;NS00125015201;К79432;0;55.01931617295912000000;82.94090514285770000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 03:52:39.000
NSK313120;2025-07-17 00:00:00.000;NS00125015202;К270646;0;55.03029900000000000000;82.90468900000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 05:48:31.000
NSK313120;2025-07-17 00:00:00.000;NS00125015203;К91610;0;55.03048800000000000000;82.92521800000000000000;1754-01-01 11:00:00.000;1754-01-01 15:00:00.000;2025-07-17 04:49:34.000
NSK313120;2025-07-17 00:00:00.000;NS00125015204;К91610;0;55.03048800000000000000;82.92521800000000000000;1754-01-01 11:00:00.000;1754-01-01 15:00:00.000;2025-07-17 04:49:34.000
NSK313120;2025-07-17 00:00:00.000;NS00125015214;К436877;0;55.02638870000000000000;82.92898540000000000000;1754-01-01 10:00:00.000;1754-01-01 14:00:00.000;2025-07-17 06:05:44.000
NSK313120;2025-07-17 00:00:00.000;NS00125015216;К91610;0;55.03048800000000000000;82.92521800000000000000;1754-01-01 11:00:00.000;1754-01-01 15:00:00.000;2025-07-17 04:49:34.000
YR313246;2025-07-17 00:00:00.000;SL00125443417;К12544;6;55.76177800000000000000;37.55474900000000000000;1754-01-01 11:00:00.000;1754-01-01 12:00:00.000;2025-07-17 07:14:59.000
YR313246;2025-07-17 00:00:00.000;SL00125447714;К325713;6;55.76509300000000000000;37.56877600000000000000;1754-01-01 11:00:00.000;1754-01-01 14:00:00.000;2025-07-17 07:48:23.000
YR313246;2025-07-17 00:00:00.000;SL00125448791;К236088;6;55.75131000000000000000;37.53404000000000000000;1754-01-01 10:00:00.000;1754-01-01 14:00:00.000;2025-07-17 08:44:38.000
YR313246;2025-07-17 00:00:00.000;SL00125450124;К236088;6;55.75131000000000000000;37.53404000000000000000;1754-01-01 10:00:00.000;1754-01-01 14:00:00.000;2025-07-17 08:44:38.000
YR313246;2025-07-17 00:00:00.000;SL00125450252;К194661;6;55.74951100000000000000;37.53708300000000000000;1754-01-01 10:00:00.000;1754-01-01 18:00:00.000;2025-07-17 06:23:19.000
YR313246;2025-07-17 00:00:00.000;SL00125451325;К397743;6;55.75797190000000000000;37.55563380000000000000;1754-01-01 12:00:00.000;1754-01-01 13:00:00.000;2025-07-17 08:26:01.000
YR313246;2025-07-17 00:00:00.000;SL00125452543;К397743;6;55.75797190000000000000;37.55563380000000000000;1754-01-01 12:00:00.000;1754-01-01 13:00:00.000;2025-07-17 08:26:02.000
YR313246;2025-07-17 00:00:00.000;SL00125453149;К12544;6;55.75142283320210000000;37.53338404955350000000;1754-01-01 10:00:00.000;1754-01-01 10:30:00.000;2025-07-17 07:02:06.000
YR313246;2025-07-17 00:00:00.000;SL00125453195;К79432;6;55.74963300000000000000;37.53743400000000000000;1754-01-01 08:00:00.000;1754-01-01 09:00:00.000;2025-07-17 05:04:54.000
YR313246;2025-07-17 00:00:00.000;SL00125453394;К131187;6;55.75139440000000000000;37.53407320000000000000;1754-01-01 08:00:00.000;1754-01-01 12:00:00.000;2025-07-17 07:02:13.000
YR313246;2025-07-17 00:00:00.000;SL00125453444;К12544;6;55.75142283320210000000;37.53338404955350000000;1754-01-01 10:00:00.000;1754-01-01 10:30:00.000;2025-07-17 07:02:07.000
YR313246;2025-07-17 00:00:00.000;SL00125453462;К12544;6;55.76177800000000000000;37.55474900000000000000;1754-01-01 11:00:00.000;1754-01-01 12:00:00.000;2025-07-17 07:14:59.000
YR313246;2025-07-17 00:00:00.000;SL00125453480;К12544;6;55.75142283320210000000;37.53338404955350000000;1754-01-01 10:00:00.000;1754-01-01 10:30:00.000;2025-07-17 07:02:07.000
YR313246;2025-07-17 00:00:00.000;SL00125453482;К12544;6;55.75142283320210000000;37.53338404955350000000;1754-01-01 10:00:00.000;1754-01-01 10:30:00.000;2025-07-17 07:02:07.000
YR313246;2025-07-17 00:00:00.000;SL00125453604;К79432;6;55.74963300000000000000;37.53743400000000000000;1754-01-01 08:00:00.000;1754-01-01 09:00:00.000;2025-07-17 05:04:54.000
YR313246;2025-07-17 00:00:00.000;SL00125453708;К211874;6;55.75469100000000000000;37.56817500000000000000;1754-01-01 12:00:00.000;1754-01-01 16:00:00.000;2025-07-17 10:14:34.000
YR313246;2025-07-17 00:00:00.000;SL00125453827;К11610;6;55.75594000000000000000;37.56150900000000000000;1754-01-01 12:00:00.000;1754-01-01 16:00:00.000;2025-07-17 09:17:06.000
YR313246;2025-07-17 00:00:00.000;SL00125453921;К20554;6;55.75535300000000000000;37.56007100000000000000;1754-01-01 12:00:00.000;1754-01-01 16:00:00.000;2025-07-17 09:10:14.000
YR313246;2025-07-17 00:00:00.000;SL00125453932;К462949;6;55.74707300000000000000;37.53658300000000000000;1754-01-01 08:00:00.000;1754-01-01 12:00:00.000;2025-07-17 05:51:36.000
